C,Name,Pos,City,GP,G,A,Pts,PIM,PIMB,SOA,SOG,PP,PPA,SH,SHA,OTG,GW,GT,EN,Hat.,S,+/-,PPts,PPts/GP,Sal,CapH,St
410,N. Cousin,C,MON,60,6,10,16,31,5,6,0,1,1,0,0,0,0,0,0,0,99,-6,16,0.3,1,1,
411,C. McKenz,LW,VEG,53,6,10,16,72,40,0,0,0,0,0,0,0,3,0,0,0,66,5,16,0.3,0.75,0.75,
412,T. van Ri,D,CAR,58,5,11,16,29,5,0,0,0,0,0,0,0,2,0,0,0,73,17,16,0.3,2.5,2.3,
413,A. Burmis,C,VAN,49,5,11,16,12,0,0,0,4,1,0,1,0,0,0,0,0,45,-7,16,0.3,-,-,
414,D. Engell,D,VEG,81,4,12,16,85,45,0,0,0,0,0,0,0,2,0,0,0,107,2,16,0.2,0.7,0.7,
415,T. Kuhnha,RW,NYI,57,4,12,16,18,0,0,0,0,0,1,1,0,0,0,1,0,49,8,16,0.3,0.85,0.85,
416,D. Hamhui,D,NAS,79,1,15,16,23,5,0,0,1,0,0,2,0,0,0,0,0,83,-7,16,0.2,1,1.25,
417,M. Calver,LW,COL,65,10,5,15,48,10,0,0,0,0,3,1,0,1,0,2,0,92,-4,15,0.2,2.93,2.85,
418,K. Brodzi,C,EDM,69,8,7,15,27,5,0,0,0,0,0,0,0,2,0,0,0,55,2,15,0.2,1.2,1.15,
419,D. Weise,RW,MON,64,8,7,15,39,10,0,0,1,1,0,0,0,2,0,0,0,94,1,15,0.2,1.75,2.35,
420,K. Quince,D,MIN,73,6,9,15,51,5,0,0,0,0,0,0,0,0,0,0,0,79,4,15,0.2,-,-,
421,C. VandeV,C,OTT,81,6,9,15,16,0,0,0,0,0,0,0,0,0,0,1,0,69,-5,15,0.2,-,-,
